wavelength_nm,normalized_intensity
400,0.003032
401,0.004522
402,0.005610
403,0.006511
404,0.007441
405,0.008666
406,0.010516
407,0.012880
408,0.015987
409,0.019816
410,0.024492
411,0.029830
412,0.035941
413,0.043100
414,0.051716
415,0.062213
416,0.074275
417,0.088076
418,0.103368
419,0.120336
420,0.140408
421,0.163914
422,0.192572
423,0.225434
424,0.261349
425,0.298640
426,0.338128
427,0.382686
428,0.432495
429,0.489216
430,0.549298
431,0.616266
432,0.683957
433,0.750779
434,0.813815
435,0.872763
436,0.925816
437,0.966024
438,0.994800
439,1.000000
440,0.986876
441,0.950340
442,0.900278
443,0.839623
444,0.771426
445,0.697384
446,0.622557
447,0.554555
448,0.490984
449,0.435598
450,0.386146
451,0.346978
452,0.314362
453,0.285201
454,0.257402
455,0.232551
456,0.211399
457,0.194033
458,0.179215
459,0.165195
460,0.151001
461,0.136607
462,0.123325
463,0.111200
464,0.100259
465,0.091206
466,0.084852
467,0.079719
468,0.075443
469,0.071170
470,0.066679
471,0.062727
472,0.059494
473,0.056745
474,0.054470
475,0.053008
476,0.051762
477,0.050849
478,0.050463
479,0.050292
480,0.050474
481,0.051271
482,0.052365
483,0.053815
484,0.055782
485,0.058299
486,0.061275
487,0.064566
488,0.068253
489,0.071957
490,0.075779
491,0.079939
492,0.084726
493,0.089916
494,0.095599
495,0.101158
496,0.106360
497,0.111785
498,0.117157
499,0.122230
500,0.127206
501,0.132474
502,0.137890
503,0.143559
504,0.149262
505,0.155236
506,0.161342
507,0.167564
508,0.172903
509,0.177476
510,0.181940
511,0.185687
512,0.189050
513,0.192419
514,0.195900
515,0.199191
516,0.203090
517,0.207240
518,0.211650
519,0.216537
520,0.220783
521,0.223891
522,0.226277
523,0.227425
524,0.227578
525,0.227668
526,0.227845
527,0.228919
528,0.230962
529,0.233148
530,0.234793
531,0.235926
532,0.236575
533,0.235948
534,0.235007
535,0.234649
536,0.235552
537,0.237358
538,0.239350
539,0.240915
540,0.242155
541,0.243700
542,0.244304
543,0.244916
544,0.245933
545,0.246726
546,0.247481
547,0.248105
548,0.248176
549,0.247813
550,0.247642
551,0.247224
552,0.247091
553,0.247175
554,0.246967
555,0.246516
556,0.245730
557,0.244443
558,0.242626
559,0.240442
560,0.238101
561,0.236354
562,0.235062
563,0.234105
564,0.232801
565,0.231328
566,0.229314
567,0.226033
568,0.222239
569,0.218187
570,0.214556
571,0.211641
572,0.209899
573,0.209051
574,0.208631
575,0.208011
576,0.206651
577,0.204961
578,0.202790
579,0.200347
580,0.198398
581,0.196977
582,0.195908
583,0.194924
584,0.194039
585,0.193052
586,0.191692
587,0.189874
588,0.187723
589,0.185287
590,0.182591
591,0.180127
592,0.178089
593,0.176497
594,0.175133
595,0.174168
596,0.173197
597,0.172259
598,0.170778
599,0.168854
600,0.166571
601,0.164175
602,0.161689
603,0.159359
604,0.157218
605,0.154868
606,0.152591
607,0.150423
608,0.148429
609,0.146452
610,0.144327
611,0.142203
612,0.139962
613,0.137780
614,0.135510
615,0.133320
616,0.131080
617,0.128999
618,0.126924
619,0.124445
620,0.121844
621,0.119055
622,0.116675
623,0.114791
624,0.112997
625,0.111317
626,0.109523
627,0.107632
628,0.105617
629,0.103559
630,0.101350
631,0.099954
632,0.098488
633,0.096900
634,0.095359
635,0.093455
636,0.091228
637,0.088976
638,0.086601
639,0.084187
640,0.082332
641,0.080479
642,0.078725
643,0.077116
644,0.075597
645,0.074041
646,0.072755
647,0.071452
648,0.070091
649,0.069040
650,0.067676
651,0.066100
652,0.064584
653,0.063586
654,0.062878
655,0.062273
656,0.061526
657,0.060792
658,0.059872
659,0.058357
660,0.056589
661,0.054870
662,0.053650
663,0.052662
664,0.051600
665,0.050776
666,0.049970
667,0.049004
668,0.047888
669,0.046586
670,0.045342
671,0.044178
672,0.043184
673,0.042134
674,0.041200
675,0.040381
676,0.039468
677,0.038523
678,0.037385
679,0.036505
680,0.035671
681,0.034808
682,0.033972
683,0.033181
684,0.032545
685,0.031842
686,0.031159
687,0.030364
688,0.029708
689,0.029026
690,0.028190
691,0.027445
692,0.026693
693,0.025950
694,0.025325
695,0.024778
696,0.024127
697,0.023451
698,0.022733
699,0.021962
700,0.021532
