time,cell_fraction_regularized
0.0,1.0
0.25,0.9998345959178273
0.5,1.000297727347911
0.75,1.0006946971451256
1.0,1.0011909093916438
1.25,1.002414899599722
1.5,1.0034404049091932
1.75,1.0039366171557114
2.0,1.003605808991366
2.25,1.0031757583777168
2.5,1.0029111118462404
2.75,1.003076515928413
3.0,1.0031095967448478
3.25,1.0031757583777168
3.5,1.0032750008270204
3.75,1.0033411624598896
4.0,1.003374243276324
4.25,1.0025803036818948
4.5,1.001620960005293
4.75,1.0006285355122564
5.0,1.00036388898078
5.25,1.0000330808164346
5.5,0.9994707069370472
5.75,0.9990075755069635
6.0,0.9986436865261835
6.25,0.9989414138740943
6.5,0.9991068179562671
6.75,0.9995368685699163
7.0,1.0002646465314764
7.25,1.0008601012272982
7.5,1.0012570710245128
7.75,1.0018194449039002
8.0,1.0026795461311986
8.25,1.0035396473584968
8.5,1.0037712130735388
8.75,1.004035859605015
9.0,1.004267425320057
9.25,1.0039366171557114
9.5,1.0042012636871878
9.75,1.0043666677693606
10.0,1.0043005061364914
10.25,1.0038042938899732
10.5,1.0031757583777168
10.75,1.0028118693969368
11.0,1.0024810612325912
11.25,1.002051010618942
11.5,1.0018194449039002
11.75,1.0021171722518112
12.0,1.0025803036818948
12.25,1.0029111118462404
12.5,1.003076515928413
12.75,1.0032088391941512
13.0,1.0025472228654602
13.25,1.0019517681696384
13.5,1.0013563134738166
13.75,1.000959343676602
14.0,1.0006946971451256
14.25,1.000297727347911
14.5,1.0004962122465182
14.75,1.00072777796156
15.0,1.0010585861259056
15.25,1.00109166694234
15.5,1.0012901518409474
15.75,1.0014224751066856
16.0,1.0014224751066856
16.25,1.0009924244930364
16.5,1.000661616328691
16.75,1.0003308081643454
17.0,0.9997353534685235
17.25,0.9990737371398325
17.5,0.9987098481590525
17.75,0.9981143934632306
18.0,0.9972873730523668
18.25,0.9964603526415031
18.5,0.9962618677428958
18.75,0.9960633828442885
19.0,0.995368685699163
19.25,0.9952032816169903
19.5,0.9950378775348175
19.75,0.9947401501869065
20.0,0.994409342022561
20.25,0.9940785338582155
20.5,0.9942770187568228
20.75,0.9941777763075192
21.0,0.9939792914089118
21.25,0.9936154024281318
21.5,0.9931522709980481
21.75,0.9925568163022264
22.0,0.9919282807899699
22.25,0.9912335836448444
22.5,0.9906050481325879
22.75,0.9899103509874624
23.0,0.9899765126203314
23.25,0.990009593436766
23.5,0.9903734824175461
23.75,0.9902411591518079
24.0,0.990009593436766
24.25,0.9897780277217242
24.5,0.9888517648615567
24.75,0.9878593403685202
25.0,0.9866684309768764
25.25,0.9856760064838399
25.5,0.9848159052565417
25.75,0.9839888848456779
26.0,0.9832941877005524
26.25,0.9824671672896887
26.5,0.981342419530914
26.75,0.9802176717721393
27.0,0.9790267623804956
27.25,0.9773396407423335
27.5,0.9754209533891296
27.75,0.9736676701180985
28.0,0.9719805484799364
28.25,0.9701941843924708
28.5,0.9684078203050052
28.75,0.9664229713189322
29.0,0.9648681729465083
29.25,0.9633133745740845
29.5,0.962023222733137
29.75,0.9607992325250587
30.0,0.9598398888484567
30.25,0.958715141089682
30.5,0.957094181084389
30.75,0.9555393827119653
31.0,0.9540507459724106
31.25,0.9526944324985941
31.5,0.9513050382083429
31.75,0.9496179165701809
32.0,0.9478646332991498
32.25,0.9463098349267259
