time,cell_fraction_regularized
0.0,1.0
0.25,1.0009246417013407
0.5,1.002544000830694
0.75,1.0040846224517668
1.0,1.0054373691224063
1.25,1.0082238720731012
1.5,1.0109058559943769
1.75,1.0131247752606976
2.0,1.0150322264828262
2.25,1.016857362295437
2.5,1.0184656386826576
2.75,1.0192332492032203
3.0,1.0199975014277556
3.25,1.0207154353356522
3.5,1.0209292169180635
3.75,1.0213347474912295
4.0,1.0217177485881084
4.25,1.0230061586429378
4.5,1.0242643301572034
4.75,1.0254579800553532
5.0,1.0266990291262137
5.25,1.0287692747001713
5.5,1.0306967447173043
5.75,1.0328026841804683
6.0,1.035051399200457
6.25,1.0371930325528271
6.5,1.0382638492290122
6.75,1.0393703597944033
7.0,1.040369788692176
7.25,1.0414762992575672
7.5,1.0435465448315249
7.75,1.045259851513421
8.0,1.0470802398629355
8.25,1.0491504854368934
8.5,1.051220731010851
8.75,1.054183323814963
9.0,1.0572173043974873
9.25,1.0603940605368363
9.5,1.0633209594517419
9.75,1.0654268989149058
10.0,1.0673543689320388
10.25,1.0693532267275843
10.5,1.0708523700742434
10.75,1.07228012564249
11.0,1.0734937178754997
11.25,1.0734580239862936
11.5,1.0732795545402627
11.75,1.0734580239862936
12.0,1.0737078812107368
12.25,1.0739220445459736
12.5,1.0742432895488292
12.75,1.0750999428897774
13.0,1.0759209023415193
13.25,1.077348657909766
13.5,1.0792404340376927
13.75,1.0808823529411764
14.0,1.08206025128498
14.25,1.0823814962878355
14.5,1.0826670474014848
14.75,1.083309537407196
15.0,1.0839877213021132
15.25,1.0844874357509995
15.5,1.0842732724157624
15.75,1.0837021701884637
16.0,1.082881210736722
16.25,1.0819531696173614
16.5,1.0818817818389492
16.75,1.0817390062821246
17.0,1.0815962307252998
17.25,1.0813463735008566
17.5,1.0809537407195888
17.75,1.080739577384352
18.0,1.0802041690462594
18.25,1.0796687607081668
18.5,1.079704454597373
18.75,1.0787407195888064
19.0,1.0779554540262708
19.25,1.076777555682467
19.5,1.0758495145631068
19.75,1.0747786978869218
20.0,1.0740648201027985
20.25,1.073101085094232
20.5,1.0723872073101086
20.75,1.07181610508281
21.0,1.071423472301542
21.25,1.0713163906339236
21.5,1.0707095945174185
21.75,1.0700671045117076
22.0,1.0694603083952028
22.25,1.0682467161621931
22.5,1.0670331239291835
22.75,1.0658195316961736
23.0,1.06464163335237
23.25,1.0628569388920617
23.5,1.0610008566533409
23.75,1.059287549971445
24.0,1.0579668760708167
24.25,1.0567175899486008
24.5,1.0553612221587665
24.75,1.0535408338092518
25.0,1.0516133637921188
25.25,1.0504354654483152
25.5,1.0501142204454599
25.75,1.0497215876641919
26.0,1.049114791547687
26.25,1.0487578526556254
26.5,1.04843660765277
26.75,1.0481867504283267
27.0,1.0481867504283267
27.25,1.0481510565391206
27.5,1.047829811536265
27.75,1.0476870359794404
28.0,1.0475799543118218
28.25,1.0481153626499145
28.5,1.0481153626499145
28.75,1.048258138206739
29.0,1.0486507709880069
29.25,1.0494003426613363
29.5,1.0500785265562536
29.75,1.0499000571102228
30.0,1.0492575671045117
30.25,1.0486507709880069
30.5,1.048043974871502
30.75,1.047365790976585
31.0,1.04675899486008
31.25,1.0462235865219875
31.5,1.0462592804111936
31.75,1.0460808109651627
32.0,1.0470802398629355
32.25,1.0487221587664193
32.5,1.0502926898914906
32.75,1.051256424900057
33.0,1.052291547687036
33.25,1.053326670474015
33.5,1.0537193032552827
33.75,1.0541119360365505
34.0,1.0546116504854368
34.25,1.0558609366076528
34.5,1.0573243860651056
34.75,1.0588235294117647
35.0,1.0598586521987436
35.25,1.0604654483152485
35.5,1.0608580810965162
35.75,1.061250713877784
36.0,1.0619645916619074
36.25,1.0626070816676185
36.5,1.0643560822387208
36.75,1.066105082809823
37.0,1.0676756139348944
37.25,1.0683537978298114
37.5,1.069496002284409
37.75,1.0705311250713878
38.0,1.0716733295259853
38.25,1.072065962307253
38.5,1.07228012564249
38.75,1.0725299828669332
